job_title,company_type,industry,country,city,remote_type,min_experience_years,employment_type,company_size,salary
MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,0,Full-time,Large,64548.0
Data Analyst,Startup,Education,Germany,Remote,Remote,0,Full-time,Medium,70201.0
MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,5,Full-time,Large,162893.0
Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,0,Full-time,Medium,69980.0
Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,2,Full-time,Large,115137.5
Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,5,Full-time,Large,164084.0
AI Researcher,Startup,Tech,USA,Austin,Onsite,5,Full-time,Small,158768.5
MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,5,Full-time,Small,159568.0
Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,0,Full-time,Medium,72781.0
Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,0,Full-time,Small,63471.5
Data Analyst,Startup,Finance,Germany,Munich,Hybrid,0,Full-time,Medium,60639.5
Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,5,Full-time,Small,156285.5
AI Researcher,Startup,Healthcare,USA,New York,Onsite,5,Full-time,Large,152886.0
Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,0,Full-time,Small,73225.0
AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,5,Full-time,Medium,159635.5
Applied Scientist,Research Lab,Finance,USA,Remote,Remote,2,Full-time,Medium,103108.5
Data Analyst,Startup,Finance,Germany,Remote,Remote,2,Full-time,Medium,108976.0
Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,2,Full-time,Medium,105717.5
Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,5,Full-time,Medium,160102.0
AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,0,Full-time,Medium,69654.0
AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,0,Full-time,Large,72191.0
Data Scientist,MNC,Retail,UK,London,Onsite,5,Full-time,Small,165077.0
Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,2,Full-time,Large,111677.5
Applied Scientist,MNC,Finance,Canada,Vancouver,Onsite,2,Full-time,Large,106956.0
Data Analyst,Research Lab,Tech,Germany,Remote,Remote,2,Full-time,Medium,113950.0
Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,2,Full-time,Large,112042.5
Data Analyst,MNC,Tech,Canada,Remote,Remote,2,Full-time,Large,101670.0
AI Researcher,MNC,Finance,USA,San Francisco,Hybrid,5,Full-time,Large,162412.0
MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,2,Full-time,Small,113294.5
MLOps Engineer,MNC,Education,Germany,Frankfurt,Onsite,5,Full-time,Medium,162937.5
Machine Learning Engineer,MNC,Healthcare,UK,Birmingham,Hybrid,5,Full-time,Large,154869.5
AI Researcher,Research Lab,Education,Germany,Berlin,Onsite,5,Full-time,Large,158276.5
Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,2,Full-time,Small,101503.5
Data Analyst,MNC,Finance,Germany,Remote,Remote,2,Full-time,Medium,102057.0
Applied Scientist,MNC,Retail,USA,Remote,Remote,2,Full-time,Large,112195.5
Data Analyst,MNC,Tech,UK,Birmingham,Hybrid,5,Full-time,Medium,154116.0
AI Researcher,Research Lab,Education,Australia,Sydney,Hybrid,5,Full-time,Medium,157059.0
Data Scientist,Research Lab,Healthcare,Australia,Brisbane,Hybrid,2,Full-time,Small,102879.5
AI Researcher,Research Lab,Retail,UK,Birmingham,Onsite,2,Full-time,Small,116624.5
Data Analyst,Startup,Finance,UK,Remote,Remote,2,Full-time,Medium,108685.5
Machine Learning Engineer,MNC,Healthcare,UK,Manchester,Onsite,0,Full-time,Medium,73225.5
AI Researcher,Research Lab,Healthcare,UK,London,Hybrid,2,Full-time,Large,113976.5
MLOps Engineer,MNC,Retail,UK,Remote,Remote,2,Full-time,Large,111536.0
AI Researcher,MNC,Education,India,Bangalore,Hybrid,0,Full-time,Small,69686.5
MLOps Engineer,Startup,Retail,Germany,Frankfurt,Onsite,2,Full-time,Small,110233.0
Machine Learning Engineer,MNC,Healthcare,USA,New York,Hybrid,2,Full-time,Small,105447.5
Applied Scientist,MNC,Education,UK,Birmingham,Hybrid,5,Full-time,Small,161380.0
Applied Scientist,MNC,Finance,Australia,Melbourne,Hybrid,0,Full-time,Large,64238.0
AI Researcher,MNC,Healthcare,USA,Seattle,Hybrid,0,Full-time,Small,69165.0
MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,0,Full-time,Large,68531.0
Data Scientist,MNC,Retail,Germany,Remote,Remote,5,Full-time,Large,150043.0
AI Researcher,Startup,Retail,India,Chennai,Hybrid,2,Full-time,Medium,105010.5
AI Researcher,Startup,Finance,USA,Austin,Onsite,5,Full-time,Small,163196.5
Data Scientist,Startup,Tech,Canada,Remote,Remote,5,Full-time,Medium,154332.5
MLOps Engineer,Research Lab,Healthcare,USA,Remote,Remote,2,Full-time,Small,111792.0
AI Researcher,MNC,Education,UK,Manchester,Hybrid,5,Full-time,Large,159507.5
Data Analyst,Startup,Tech,USA,Boston,Onsite,5,Full-time,Medium,155712.0
AI Researcher,Startup,Education,USA,Austin,Onsite,0,Full-time,Large,65142.0
MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,0,Full-time,Large,60692.5
AI Researcher,Research Lab,Education,Germany,Hamburg,Hybrid,0,Full-time,Small,59057.0
AI Researcher,Startup,Finance,Canada,Remote,Remote,5,Full-time,Small,160556.5
MLOps Engineer,Startup,Retail,India,Hyderabad,Hybrid,0,Full-time,Medium,65186.0
Applied Scientist,MNC,Education,Canada,Montreal,Hybrid,2,Full-time,Medium,104628.0
Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,2,Full-time,Small,116165.0
AI Researcher,MNC,Education,India,Chennai,Onsite,2,Full-time,Small,103726.0
Applied Scientist,Research Lab,Finance,Germany,Frankfurt,Hybrid,0,Full-time,Large,70045.5
AI Researcher,MNC,Retail,India,Remote,Remote,2,Full-time,Large,109387.5
MLOps Engineer,Research Lab,Retail,USA,Austin,Onsite,0,Full-time,Small,68305.0
Machine Learning Engineer,MNC,Retail,Germany,Frankfurt,Onsite,5,Full-time,Small,152784.0
Machine Learning Engineer,Research Lab,Retail,USA,New York,Hybrid,5,Full-time,Large,154589.0
AI Researcher,MNC,Education,Australia,Remote,Remote,2,Full-time,Small,108679.5
Data Scientist,Startup,Retail,Canada,Remote,Remote,2,Full-time,Medium,110474.0
Machine Learning Engineer,Research Lab,Retail,USA,Boston,Hybrid,2,Full-time,Small,111256.0
Applied Scientist,Research Lab,Tech,USA,San Francisco,Hybrid,0,Full-time,Small,71120.0
Data Analyst,MNC,Tech,Australia,Remote,Remote,2,Full-time,Medium,109045.5
Data Analyst,Research Lab,Retail,Australia,Remote,Remote,2,Full-time,Small,105661.0
Data Scientist,Research Lab,Healthcare,USA,Seattle,Onsite,0,Full-time,Medium,61777.0
Applied Scientist,MNC,Healthcare,UK,Birmingham,Hybrid,2,Full-time,Large,99651.5
Data Analyst,MNC,Education,Germany,Frankfurt,Hybrid,5,Full-time,Small,166348.5
Data Scientist,Research Lab,Finance,USA,Remote,Remote,5,Full-time,Medium,157849.0
Machine Learning Engineer,Startup,Retail,Australia,Sydney,Hybrid,0,Full-time,Small,70601.5
Machine Learning Engineer,MNC,Tech,Australia,Brisbane,Hybrid,2,Full-time,Medium,109533.0
Applied Scientist,MNC,Finance,UK,London,Onsite,5,Full-time,Large,163724.5
Machine Learning Engineer,Research Lab,Education,India,Remote,Remote,2,Full-time,Medium,101798.5
Applied Scientist,MNC,Finance,Canada,Toronto,Onsite,5,Full-time,Large,163156.0
AI Researcher,Research Lab,Finance,Australia,Remote,Remote,2,Full-time,Large,111830.0
AI Researcher,Research Lab,Healthcare,Germany,Munich,Hybrid,2,Full-time,Large,101665.5
Data Scientist,MNC,Finance,UK,Manchester,Hybrid,2,Full-time,Medium,109062.0
AI Researcher,MNC,Education,UK,London,Hybrid,2,Full-time,Small,112864.0
AI Researcher,Research Lab,Healthcare,Canada,Vancouver,Onsite,5,Full-time,Medium,160006.5
Applied Scientist,Research Lab,Finance,Australia,Melbourne,Onsite,2,Full-time,Medium,104250.5
MLOps Engineer,Research Lab,Tech,India,Delhi,Onsite,2,Full-time,Small,105543.5
Machine Learning Engineer,MNC,Education,Canada,Montreal,Hybrid,2,Full-time,Medium,103629.0
Machine Learning Engineer,MNC,Tech,Australia,Remote,Remote,5,Full-time,Medium,161556.0
Data Scientist,Startup,Retail,UK,Manchester,Onsite,5,Full-time,Small,161958.5
MLOps Engineer,Research Lab,Finance,Australia,Remote,Remote,0,Full-time,Small,73986.0
MLOps Engineer,Research Lab,Education,India,Hyderabad,Hybrid,0,Full-time,Large,63744.5
Data Analyst,Research Lab,Healthcare,UK,London,Hybrid,0,Full-time,Small,64777.5
Data Scientist,MNC,Healthcare,India,Remote,Remote,2,Full-time,Large,105450.0
MLOps Engineer,Startup,Finance,Australia,Brisbane,Hybrid,0,Full-time,Small,75438.5
Data Analyst,Startup,Education,Canada,Montreal,Hybrid,5,Full-time,Small,152060.5
Data Scientist,MNC,Tech,Canada,Vancouver,Hybrid,5,Full-time,Small,156550.0
Data Analyst,Research Lab,Finance,Australia,Brisbane,Onsite,2,Full-time,Small,107111.0
